Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_11, R_S_12, R_S_13, R_S_14	5.23	0.00	0.02
R_S_11, R_S_12, R_S_13, R_S_15	4.88	0.00	0.02
R_S_11, R_S_12, R_S_14, R_S_15	4.80	0.00	0.02
R_S_11, R_S_13, R_S_14, R_S_15	5.03	0.00	0.02
R_S_12, R_S_13, R_S_14, R_S_15	6.34	0.01	0.02
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12	2.31	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_13	2.99	0.00	0.01
R_S_8, R_S_9, R_S_10, R_S_11, R_S_14	3.36	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_15	2.75	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_13	2.13	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_12, R_S_14	2.23	0.00	0.01
R_S_8, R_S_9, R_S_10, R_S_12, R_S_15	1.76	0.00	0.01
R_S_8, R_S_9, R_S_10, R_S_13, R_S_14	3.12	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_13, R_S_15	2.77	0.00	0.01
R_S_8, R_S_9, R_S_10, R_S_14, R_S_15	3.70	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_13	2.88	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_14	2.62	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_12, R_S_15	2.39	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13, R_S_14	3.50	0.00	0.00
R_S_8, R_S_9, R_S_11, R_S_13, R_S_15	2.83	0.00	0.01
R_S_8, R_S_9, R_S_11, R_S_14, R_S_15	3.08	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13, R_S_14	2.28	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_13, R_S_15	1.99	0.00	0.00
R_S_8, R_S_9, R_S_12, R_S_14, R_S_15	2.20	0.00	0.00
R_S_8, R_S_9, R_S_13, R_S_14, R_S_15	2.85	0.00	0.00
