Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
R_S_9, R_S_10, R_S_11, R_S_12, R_S_14	2.59	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_12, R_S_15	2.90	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13, R_S_14	3.21	0.00	0.00
R_S_9, R_S_10, R_S_11, R_S_13, R_S_15	3.05	0.00	0.01
R_S_9, R_S_10, R_S_11, R_S_14, R_S_15	3.67	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_13, R_S_14	2.10	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_13, R_S_15	2.06	0.00	0.00
R_S_9, R_S_10, R_S_12, R_S_14, R_S_15	2.24	0.00	0.00
R_S_9, R_S_10, R_S_13, R_S_14, R_S_15	3.26	0.00	0.01
R_S_9, R_S_11, R_S_12, R_S_13, R_S_14	2.42	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_13, R_S_15	2.55	0.00	0.00
R_S_9, R_S_11, R_S_12, R_S_14, R_S_15	2.55	0.00	0.00
R_S_9, R_S_11, R_S_13, R_S_14, R_S_15	3.17	0.00	0.00
R_S_9, R_S_12, R_S_13, R_S_14, R_S_15	2.27	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_13, R_S_14	2.88	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_13, R_S_15	2.96	0.00	0.00
R_S_10, R_S_11, R_S_12, R_S_14, R_S_15	2.77	0.00	0.00
R_S_10, R_S_11, R_S_13, R_S_14, R_S_15	3.62	0.00	0.00
R_S_10, R_S_12, R_S_13, R_S_14, R_S_15	3.36	0.00	0.00
R_S_11, R_S_12, R_S_13, R_S_14, R_S_15	3.06	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_13	1.76	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_14	1.95	0.00	0.00
R_S_8, R_S_9, R_S_10, R_S_11, R_S_12, R_S_15	1.53	0.00	0.00
