lines	n_lines	observed_count	D_value
Ara+1|Ara+3|Ara+4|Ara-4	4	101	54.36441437945864
Ara+1|Ara+3|Ara+4|Ara-5	4	95	47.41947165884449
Ara+1|Ara+3|Ara+4|Ara-6	4	65	43.72164728745082
Ara+1|Ara+3|Ara+5|Ara-1	4	96	38.05982693683069
Ara+1|Ara+3|Ara+5|Ara-2	4	110	36.92247086705358
Ara+1|Ara+3|Ara+5|Ara-3	4	102	37.406599302236216
Ara+1|Ara+3|Ara+5|Ara-4	4	98	46.80860294562415
Ara+1|Ara+3|Ara+5|Ara-5	4	107	45.520078097303966
Ara+1|Ara+3|Ara+5|Ara-6	4	62	34.58447260558838
Ara+1|Ara+3|Ara-1|Ara-2	4	133	45.53952455738237
Ara+1|Ara+3|Ara-1|Ara-3	4	97	36.21935745616354
Ara+1|Ara+3|Ara-1|Ara-4	4	131	63.0925677454429
Ara+1|Ara+3|Ara-1|Ara-5	4	132	54.91236625366204
Ara+1|Ara+3|Ara-1|Ara-6	4	77	42.27107375726924
Ara+1|Ara+3|Ara-2|Ara-3	4	113	37.572663658854815
Ara+1|Ara+3|Ara-2|Ara-4	4	123	49.552098471277205
Ara+1|Ara+3|Ara-2|Ara-5	4	119	42.07841011059809
Ara+1|Ara+3|Ara-2|Ara-6	4	76	36.74267859786816
Ara+1|Ara+3|Ara-3|Ara-4	4	88	40.21743279600949
Ara+1|Ara+3|Ara-3|Ara-5	4	95	38.01218041578105
Ara+1|Ara+3|Ara-3|Ara-6	4	60	30.751850259820223
Ara+1|Ara+3|Ara-4|Ara-5	4	116	59.77139717867648
Ara+1|Ara+3|Ara-4|Ara-6	4	70	46.19012813050689
Ara+1|Ara+3|Ara-5|Ara-6	4	65	37.14728828742677
Ara+1|Ara+4|Ara+5|Ara-1	4	86	40.26396136866968
Ara+1|Ara+4|Ara+5|Ara-2	4	104	42.339112712365775
Ara+1|Ara+4|Ara+5|Ara-3	4	87	39.91937113549087
Ara+1|Ara+4|Ara+5|Ara-4	4	95	55.5827376421113
Ara+1|Ara+4|Ara+5|Ara-5	4	113	60.50705525656176
Ara+1|Ara+4|Ara+5|Ara-6	4	64	41.557508486012416
Ara+1|Ara+4|Ara-1|Ara-2	4	102	43.97026722695705
Ara+1|Ara+4|Ara-1|Ara-3	4	75	34.76786304942032
Ara+1|Ara+4|Ara-1|Ara-4	4	98	56.64600533117429
Ara+1|Ara+4|Ara-1|Ara-5	4	92	47.28237493427986
Ara+1|Ara+4|Ara-1|Ara-6	4	70	43.758605946235406
Ara+1|Ara+4|Ara-2|Ara-3	4	95	36.98211026120267
Ara+1|Ara+4|Ara-2|Ara-4	4	106	50.95481461723045
Ara+1|Ara+4|Ara-2|Ara-5	4	106	48.07905557557933
Ara+1|Ara+4|Ara-2|Ara-6	4	72	42.33288510398135
Ara+1|Ara+4|Ara-3|Ara-4	4	84	48.64645941979574
Ara+1|Ara+4|Ara-3|Ara-5	4	91	44.26515065040349
Ara+1|Ara+4|Ara-3|Ara-6	4	54	33.22530048796253
Ara+1|Ara+4|Ara-4|Ara-5	4	98	59.12933550170903
Ara+1|Ara+4|Ara-4|Ara-6	4	72	55.451609484455965
Ara+1|Ara+4|Ara-5|Ara-6	4	61	44.91726214689348
Ara+1|Ara+5|Ara-1|Ara-2	4	115	40.3716991569355
Ara+1|Ara+5|Ara-1|Ara-3	4	88	34.24517587804736
Ara+1|Ara+5|Ara-1|Ara-4	4	105	49.62425765125697
Ara+1|Ara+5|Ara-1|Ara-5	4	114	49.19981504549787
Ara+1|Ara+5|Ara-1|Ara-6	4	66	35.45593420991873
Ara+1|Ara+5|Ara-2|Ara-3	4	125	39.820920754377
Ara+1|Ara+5|Ara-2|Ara-4	4	123	50.98801530548831
Ara+1|Ara+5|Ara-2|Ara-5	4	136	52.82754126218505
Ara+1|Ara+5|Ara-2|Ara-6	4	75	36.345556035741694
Ara+1|Ara+5|Ara-3|Ara-4	4	100	45.728160118256426
Ara+1|Ara+5|Ara-3|Ara-5	4	118	50.01886236498241
Ara+1|Ara+5|Ara-3|Ara-6	4	58	30.89777029677041
Ara+1|Ara+5|Ara-4|Ara-5	4	117	60.3287354904134
Ara+1|Ara+5|Ara-4|Ara-6	4	67	45.58528227001676
Ara+1|Ara+5|Ara-5|Ara-6	4	68	40.69730639121129
Ara+1|Ara-1|Ara-2|Ara-3	4	110	38.01277659724166
Ara+1|Ara-1|Ara-2|Ara-4	4	135	55.22251880088506
Ara+1|Ara-1|Ara-2|Ara-5	4	138	52.76995183677238
Ara+1|Ara-1|Ara-2|Ara-6	4	89	44.24640481454162
Ara+1|Ara-1|Ara-3|Ara-4	4	90	42.35261159050712
Ara+1|Ara-1|Ara-3|Ara-5	4	102	41.673330075763324
Ara+1|Ara-1|Ara-3|Ara-6	4	66	36.200405831129125
Ara+1|Ara-1|Ara-4|Ara-5	4	123	61.70147829435605
