WT at 42C_1,ALE1 at 42C,WT at 42C_2,ALE2 at 42C,WT at 42C_3,ALE3 at 42C,WT at 42C_4,ALE4 at 42C,WT at 42C_5,ALE5 at 42C,WT at 42C_6,ALE6 at 42C,WT at 42C_7,ALE7 at 42C,WT at 42C_8,ALE8 at 42C,WT at 42C_9,ALE9 at 42C,WT at 42C_10,ALE10 at 42C
1706.35,1451.94,1762.6,2930.97,1903.95,2100.35,1736.04,1154.42,1892.27,1333.34,1769.76,1365.91,1729.59,608.306,1732.32,1759.61,1858.38,1293.11,1783.81,1199.21
1422.62,995.596,1469.51,1983.04,1587.36,1356.19,1447.37,712.602,1577.63,749.945,1475.48,665.652,1441.99,318.497,1444.27,840.717,1549.37,863.644,1487.2,546.335
0,5847.44,0,1387.2,0,3031.73,0,0,0,4092.65,0,916.079,0,3705.62,0,0,0,2528.91,0,0
6.3018,8.02139,6.50955,7.53619,7.03159,4.5144,6.41146,2.80038,6.98847,7.5671,6.536,5.24666,6.38764,8.87813,6.39774,3.40936,6.86331,3.88634,6.5879,5.56073
401.401,493.048,414.634,320.605,447.886,268.138,408.386,220.164,445.139,213.432,416.318,340.768,406.868,274.466,407.512,291.598,437.167,286.789,419.624,222.875
396.409,504.172,409.477,394.391,442.315,447.9,403.306,324.325,439.603,264.613,411.14,582.222,401.808,390.637,402.444,344.814,431.73,354.687,414.405,213.281
201.289,316.447,207.924,140.389,224.599,235.125,204.791,110.746,223.221,157.378,208.769,244.41,204.03,320.784,204.353,135.581,219.224,168.726,210.427,144.057
315.852,277.606,326.264,407.007,352.429,420.596,321.348,467.367,350.268,321.421,327.59,422.406,320.154,272.837,320.66,502.361,343.995,282.416,330.191,409.113
275.375,340.73,284.453,260.407,307.265,369.627,280.167,330.582,305.381,310.654,285.609,294.914,279.126,258.726,279.567,379.658,299.911,301.908,287.877,326.473
235.095,252.796,242.845,229.682,262.32,259.174,239.186,204.098,260.712,214.913,243.832,251.142,238.297,233.221,238.674,300.743,256.042,188.514,245.768,300.759
127.515,166.345,131.719,165.344,142.282,196.359,129.734,134.806,141.409,184.439,132.254,188.269,129.252,149.753,129.456,142.808,138.877,152.349,133.304,172.679
346.95,275.76,358.387,294.373,387.128,329.651,352.987,291.781,384.754,301.509,359.843,375.505,351.675,245.143,352.231,345.726,377.863,285.679,362.701,322.045
342.62,258.375,353.915,300.131,382.297,326.968,348.581,310.529,379.952,300.866,355.352,276.464,347.286,280.477,347.836,270.436,373.148,289.649,358.174,211.716
197.327,145.309,203.832,147.399,220.179,168.736,200.761,150.118,218.828,163.503,204.66,174.487,200.015,146.199,200.331,151.412,214.909,155.417,206.286,112.292
273.786,213.93,282.812,241.941,305.492,310.043,278.55,265.472,303.618,258.92,283.96,321.309,277.515,204.647,277.954,288.304,298.181,229.913,286.215,261.852
134.479,106.051,138.912,89.1014,150.052,132.356,136.818,122.502,149.132,139.621,139.476,119.026,136.31,123.768,136.526,95.4524,146.461,128.823,140.584,116.178
198.437,180.77,204.978,131.383,221.417,176.855,201.89,172.755,220.059,160.106,205.811,197.93,201.14,225.251,201.458,206.299,216.118,158.652,207.446,148.983
299.125,286.938,308.986,278.698,333.766,278.056,304.33,250.792,331.719,273.187,310.242,338.999,303.2,364.625,303.679,346.106,325.778,320.966,312.705,344.759
317.122,302.5,327.577,268.547,353.847,223.251,322.64,291.572,351.677,263.099,328.907,223.933,321.442,342.158,321.95,249.983,345.378,261.744,331.519,236.179
190.277,292.784,196.55,199.525,212.312,268.298,193.588,280.002,211.01,228.642,197.348,282.015,192.869,290.261,193.174,264.204,207.231,238.798,198.916,225.811
235.631,211.471,243.399,253.981,262.919,265.853,239.731,261.485,261.306,215.69,244.388,345.59,238.841,243.388,239.218,303.178,256.626,204.374,246.329,263.632
1354.13,979.831,1398.78,1005.66,1510.95,1102.08,1377.7,1041.19,1501.68,956.951,1404.46,1122.5,1372.58,833.592,1374.75,1108.14,1474.79,957.811,1415.61,923.15
1677.4,1566.17,1732.7,1363.04,1871.66,1479.22,1706.59,1872,1860.18,1232.87,1739.74,1902.73,1700.25,1189.4,1702.94,2285.31,1826.86,1425.92,1753.55,1904.11
285.779,388.796,295.2,332.391,318.874,456.365,290.751,347.355,316.918,371.292,296.399,505.336,289.671,429.111,290.129,544.69,311.242,330.327,298.753,500.506
335.425,398.77,346.483,414.124,374.269,398.074,341.261,395.366,371.974,400.74,347.89,384.97,339.994,433.701,340.531,375.357,365.312,385.199,350.653,365.02
55.3051,15.6935,57.1283,26.1604,61.7098,24.2331,56.2674,25.8907,61.3313,56.9267,57.3604,9.54249,56.0584,82.5666,56.1471,33.9647,60.2329,57.7237,57.8159,15.504
593.152,242.108,612.706,368.868,661.842,266.584,603.473,280.595,657.783,437.71,615.195,426.812,601.231,291.538,602.182,305.131,646.003,414.331,620.08,263.542
253.268,211.732,261.617,224.354,282.598,198.292,257.675,151.936,280.864,225.428,262.68,178.205,256.717,201.462,257.123,176.339,275.834,224.381,264.766,203.496
137.66,186.501,142.198,80.0281,153.602,163.967,140.056,128.881,152.66,145.338,142.776,243.976,139.535,167.652,139.756,170.265,149.926,149.212,143.91,130.547
916.532,298.862,946.747,749.969,1022.67,588.856,932.48,450.141,1016.4,559.583,950.593,328.146,929.016,212.983,930.485,374.656,998.197,579.239,958.142,335.213
12.0957,5.89961,12.4945,7.17442,13.4965,6.63652,12.3062,8.18989,13.4137,8.71257,12.5453,4.71608,12.2605,11.4961,12.2799,8.05371,13.1735,9.09196,12.6449,10.9512
10.0902,14.406,10.4228,10.9626,11.2587,14.6104,10.2658,34.2696,11.1897,12.3144,10.4652,25.9351,10.2276,25.6739,10.2438,28.3739,10.9893,14.3362,10.5483,28.6728
0,0,0,0,0,1.03485,0,0,0,4.81565,0,1.7595,0,0,0,0,0,1.93705,0,1.1935
163.853,204.225,169.255,171.539,182.828,168.181,166.704,220.872,181.707,146.837,169.942,276.086,166.085,222.479,166.348,262.886,178.453,199.964,171.292,244.613
61.8663,156.94,63.9058,43.7282,69.0308,44.7447,62.9428,97.5437,68.6074,40.8914,64.1654,180.363,62.709,93.438,62.8081,132.826,67.3787,53.8601,64.6749,106.065
52.2603,103.645,53.9831,35.4197,58.3123,33.7145,53.1696,29.1155,57.9547,20.4031,54.2024,106.353,52.9721,60.2033,53.0559,53.1982,56.9168,28.656,54.6328,53.4094
890.685,200.532,920.048,706.457,993.832,591.174,906.183,158.604,987.737,729.282,923.785,237.399,902.817,481.118,904.245,282.436,970.047,890.231,931.121,145.461
556.596,84.06,574.945,295.068,621.054,518.089,566.281,69.0927,617.245,367.986,577.281,9.29686,564.177,111.624,565.07,39.1281,606.19,475.692,581.865,29.5716
2303.46,921.94,2379.4,2409.19,2570.22,2080.65,2343.54,2626.25,2554.45,2182.69,2389.06,566.283,2334.83,944.132,2338.53,2113.2,2508.7,1928.53,2408.03,1949.97
1898.36,1002.89,1960.94,1797.55,2118.2,1541.26,1931.39,1876.29,2105.21,1567.11,1968.9,638.803,1924.21,843.786,1927.26,2006.84,2067.5,1364.23,1984.54,1677.44
1915.66,1082.02,1978.82,2298.84,2137.51,2034.24,1949,2084.67,2124.4,2154.73,1986.86,1159.43,1941.76,1157.59,1944.83,1980.11,2086.35,2002.01,2002.63,1736.44
2.21428,2.29978,2.28727,3.13198,2.4707,2.15943,2.2528,13.1821,2.45555,5.04089,2.29656,8.92367,2.24443,1.90934,2.24798,4.26208,2.41157,1.55752,2.3148,4.72113
1773.08,936.808,1831.53,1160.02,1978.41,1182.68,1803.93,1059.08,1966.28,1260.28,1838.97,558.438,1797.23,1112.67,1800.07,911.857,1931.06,1462.56,1853.57,927.913
163.939,268.2,169.343,127.363,182.924,87.2513,166.792,191.62,181.802,85.1428,170.031,227.779,166.172,102.384,166.435,247.112,178.546,77.2143,171.382,217.761
773.823,390.977,799.334,570.752,863.437,433.611,787.288,1106.69,858.141,569.141,802.581,242.919,784.363,221.23,785.604,437.499,842.772,766.2,808.954,621.119
633.299,369.898,654.177,442.008,706.639,556.641,644.319,977.204,702.305,471.76,656.834,367.166,641.925,168.816,642.941,434.541,689.727,651.442,662.05,544.766
145.905,231.426,150.715,95.2627,162.802,154.528,148.444,84.4831,161.804,146.167,151.328,177.967,147.893,313.62,148.127,172.366,158.906,201.336,152.529,149.44
255.109,452.432,263.519,305.223,284.652,281.482,259.548,822.13,282.906,260.96,264.589,306.193,258.583,36.9572,258.992,802.205,277.839,269.476,266.69,1020.05
155.467,10.3735,160.592,95.8463,173.471,89.4121,158.172,47.5374,172.407,150.506,161.244,7.37905,157.584,38.8993,157.834,17.5825,169.319,69.7771,162.525,19.458
452.88,381.096,467.81,313.895,505.326,384.457,460.76,211.946,502.227,468.355,469.71,356.086,459.049,475.657,459.775,323.838,493.232,538.848,473.44,231.013
1471.71,562.381,1520.23,1523.66,1642.15,1690.91,1497.32,736.573,1632.08,1790.04,1526.41,214.727,1491.76,567.57,1494.12,704.644,1602.85,1574.77,1538.53,603.985
