Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE5 at 42C, ALE6 at 42C, ALE7 at 42C	17.64	1.01	0.38
ALE5 at 42C, ALE6 at 42C, ALE8 at 42C	20.01	0.86	0.37
ALE5 at 42C, ALE6 at 42C, ALE9 at 42C	22.85	0.74	0.39
ALE5 at 42C, ALE6 at 42C, ALE10 at 42C	21.45	0.82	0.37
ALE5 at 42C, ALE7 at 42C, ALE8 at 42C	18.99	0.76	0.37
ALE5 at 42C, ALE7 at 42C, ALE9 at 42C	30.97	0.66	0.36
ALE5 at 42C, ALE7 at 42C, ALE10 at 42C	29.47	0.74	0.34
ALE5 at 42C, ALE8 at 42C, ALE9 at 42C	24.78	0.61	0.37
ALE5 at 42C, ALE8 at 42C, ALE10 at 42C	25.09	0.62	0.37
ALE5 at 42C, ALE9 at 42C, ALE10 at 42C	36.62	0.57	0.37
ALE6 at 42C, ALE7 at 42C, ALE8 at 42C	34.02	1.39	0.43
ALE6 at 42C, ALE7 at 42C, ALE9 at 42C	18.56	1.20	0.41
ALE6 at 42C, ALE7 at 42C, ALE10 at 42C	36.08	1.31	0.40
ALE6 at 42C, ALE8 at 42C, ALE9 at 42C	19.59	1.01	0.41
ALE6 at 42C, ALE8 at 42C, ALE10 at 42C	41.96	1.09	0.42
ALE6 at 42C, ALE9 at 42C, ALE10 at 42C	21.53	1.00	0.42
ALE7 at 42C, ALE8 at 42C, ALE9 at 42C	16.85	0.89	0.39
ALE7 at 42C, ALE8 at 42C, ALE10 at 42C	37.32	1.01	0.41
ALE7 at 42C, ALE9 at 42C, ALE10 at 42C	26.72	0.88	0.40
ALE8 at 42C, ALE9 at 42C, ALE10 at 42C	22.55	0.74	0.39
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE4 at 42C	23.81	0.06	0.11
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE5 at 42C	25.68	0.04	0.10
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE6 at 42C	16.74	0.07	0.12
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE7 at 42C	19.90	0.07	0.11
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE8 at 42C	18.22	0.06	0.11
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE9 at 42C	25.86	0.05	0.11
ALE1 at 42C, ALE2 at 42C, ALE3 at 42C, ALE10 at 42C	23.55	0.05	0.11
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE5 at 42C	25.15	0.05	0.11
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE6 at 42C	17.52	0.10	0.13
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE7 at 42C	20.49	0.09	0.12
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE8 at 42C	20.00	0.07	0.11
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE9 at 42C	23.86	0.06	0.11
ALE1 at 42C, ALE2 at 42C, ALE4 at 42C, ALE10 at 42C	24.96	0.06	0.11
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE6 at 42C	16.39	0.07	0.12
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE7 at 42C	21.40	0.06	0.11
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE8 at 42C	18.47	0.05	0.11
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE9 at 42C	26.82	0.05	0.10
ALE1 at 42C, ALE2 at 42C, ALE5 at 42C, ALE10 at 42C	24.86	0.05	0.10
ALE1 at 42C, ALE2 at 42C, ALE6 at 42C, ALE7 at 42C	13.80	0.12	0.13
ALE1 at 42C, ALE2 at 42C, ALE6 at 42C, ALE8 at 42C	16.83	0.10	0.13
ALE1 at 42C, ALE2 at 42C, ALE6 at 42C, ALE9 at 42C	15.66	0.09	0.13
ALE1 at 42C, ALE2 at 42C, ALE6 at 42C, ALE10 at 42C	16.77	0.09	0.13
ALE1 at 42C, ALE2 at 42C, ALE7 at 42C, ALE8 at 42C	15.52	0.09	0.12
ALE1 at 42C, ALE2 at 42C, ALE7 at 42C, ALE9 at 42C	20.03	0.08	0.12
ALE1 at 42C, ALE2 at 42C, ALE7 at 42C, ALE10 at 42C	20.87	0.08	0.12
ALE1 at 42C, ALE2 at 42C, ALE8 at 42C, ALE9 at 42C	17.17	0.06	0.11
ALE1 at 42C, ALE2 at 42C, ALE8 at 42C, ALE10 at 42C	19.29	0.07	0.12
ALE1 at 42C, ALE2 at 42C, ALE9 at 42C, ALE10 at 42C	24.02	0.06	0.11
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE5 at 42C	23.81	0.05	0.11
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE6 at 42C	16.69	0.09	0.13
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE7 at 42C	19.54	0.08	0.12
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE8 at 42C	18.09	0.07	0.11
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE9 at 42C	23.18	0.06	0.12
ALE1 at 42C, ALE3 at 42C, ALE4 at 42C, ALE10 at 42C	23.35	0.07	0.11
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE6 at 42C	16.25	0.07	0.12
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE7 at 42C	20.58	0.07	0.11
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE8 at 42C	17.69	0.06	0.11
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE9 at 42C	25.21	0.05	0.11
ALE1 at 42C, ALE3 at 42C, ALE5 at 42C, ALE10 at 42C	23.55	0.05	0.10
ALE1 at 42C, ALE3 at 42C, ALE6 at 42C, ALE7 at 42C	15.04	0.12	0.14
ALE1 at 42C, ALE3 at 42C, ALE6 at 42C, ALE8 at 42C	15.99	0.09	0.13
ALE1 at 42C, ALE3 at 42C, ALE6 at 42C, ALE9 at 42C	16.43	0.08	0.12
ALE1 at 42C, ALE3 at 42C, ALE6 at 42C, ALE10 at 42C	16.30	0.09	0.12
ALE1 at 42C, ALE3 at 42C, ALE7 at 42C, ALE8 at 42C	15.54	0.09	0.12
ALE1 at 42C, ALE3 at 42C, ALE7 at 42C, ALE9 at 42C	20.12	0.07	0.12
ALE1 at 42C, ALE3 at 42C, ALE7 at 42C, ALE10 at 42C	19.60	0.08	0.12
ALE1 at 42C, ALE3 at 42C, ALE8 at 42C, ALE9 at 42C	17.65	0.06	0.12
ALE1 at 42C, ALE3 at 42C, ALE8 at 42C, ALE10 at 42C	18.00	0.07	0.11
ALE1 at 42C, ALE3 at 42C, ALE9 at 42C, ALE10 at 42C	22.95	0.06	0.11
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE6 at 42C	16.18	0.08	0.12
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE7 at 42C	20.10	0.07	0.11
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE8 at 42C	18.53	0.06	0.11
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE9 at 42C	23.44	0.05	0.10
ALE1 at 42C, ALE4 at 42C, ALE5 at 42C, ALE10 at 42C	24.00	0.06	0.11
ALE1 at 42C, ALE4 at 42C, ALE6 at 42C, ALE7 at 42C	21.84	0.13	0.14
ALE1 at 42C, ALE4 at 42C, ALE6 at 42C, ALE8 at 42C	25.42	0.11	0.13
ALE1 at 42C, ALE4 at 42C, ALE6 at 42C, ALE9 at 42C	15.83	0.10	0.13
ALE1 at 42C, ALE4 at 42C, ALE6 at 42C, ALE10 at 42C	25.91	0.11	0.14
ALE1 at 42C, ALE4 at 42C, ALE7 at 42C, ALE8 at 42C	23.20	0.10	0.13
ALE1 at 42C, ALE4 at 42C, ALE7 at 42C, ALE9 at 42C	18.64	0.09	0.12
ALE1 at 42C, ALE4 at 42C, ALE7 at 42C, ALE10 at 42C	28.08	0.10	0.12
ALE1 at 42C, ALE4 at 42C, ALE8 at 42C, ALE9 at 42C	17.49	0.07	0.12
ALE1 at 42C, ALE4 at 42C, ALE8 at 42C, ALE10 at 42C	29.23	0.08	0.13
ALE1 at 42C, ALE4 at 42C, ALE9 at 42C, ALE10 at 42C	23.03	0.07	0.12
ALE1 at 42C, ALE5 at 42C, ALE6 at 42C, ALE7 at 42C	13.98	0.11	0.13
ALE1 at 42C, ALE5 at 42C, ALE6 at 42C, ALE8 at 42C	14.96	0.08	0.12
ALE1 at 42C, ALE5 at 42C, ALE6 at 42C, ALE9 at 42C	15.72	0.08	0.12
ALE1 at 42C, ALE5 at 42C, ALE6 at 42C, ALE10 at 42C	15.98	0.08	0.12
ALE1 at 42C, ALE5 at 42C, ALE7 at 42C, ALE8 at 42C	15.05	0.07	0.12
ALE1 at 42C, ALE5 at 42C, ALE7 at 42C, ALE9 at 42C	21.43	0.07	0.11
ALE1 at 42C, ALE5 at 42C, ALE7 at 42C, ALE10 at 42C	21.17	0.08	0.11
ALE1 at 42C, ALE5 at 42C, ALE8 at 42C, ALE9 at 42C	17.05	0.05	0.10
ALE1 at 42C, ALE5 at 42C, ALE8 at 42C, ALE10 at 42C	17.25	0.05	0.10
ALE1 at 42C, ALE5 at 42C, ALE9 at 42C, ALE10 at 42C	24.24	0.06	0.11
ALE1 at 42C, ALE6 at 42C, ALE7 at 42C, ALE8 at 42C	29.26	0.15	0.15
ALE1 at 42C, ALE6 at 42C, ALE7 at 42C, ALE9 at 42C	14.63	0.13	0.14
ALE1 at 42C, ALE6 at 42C, ALE7 at 42C, ALE10 at 42C	32.12	0.14	0.14
ALE1 at 42C, ALE6 at 42C, ALE8 at 42C, ALE9 at 42C	14.47	0.10	0.13
ALE1 at 42C, ALE6 at 42C, ALE8 at 42C, ALE10 at 42C	32.98	0.12	0.14
ALE1 at 42C, ALE6 at 42C, ALE9 at 42C, ALE10 at 42C	15.98	0.10	0.13
ALE1 at 42C, ALE7 at 42C, ALE8 at 42C, ALE9 at 42C	14.39	0.09	0.12
ALE1 at 42C, ALE7 at 42C, ALE8 at 42C, ALE10 at 42C	30.54	0.11	0.14
ALE1 at 42C, ALE7 at 42C, ALE9 at 42C, ALE10 at 42C	20.06	0.09	0.12
ALE1 at 42C, ALE8 at 42C, ALE9 at 42C, ALE10 at 42C	16.65	0.08	0.13
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE5 at 42C	35.17	0.04	0.10
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE6 at 42C	19.39	0.08	0.13
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE7 at 42C	23.56	0.07	0.12
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE8 at 42C	22.36	0.05	0.10
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE9 at 42C	34.33	0.06	0.12
ALE2 at 42C, ALE3 at 42C, ALE4 at 42C, ALE10 at 42C	30.43	0.05	0.10
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE6 at 42C	21.04	0.06	0.11
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE7 at 42C	26.75	0.06	0.10
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE8 at 42C	23.02	0.05	0.11
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE9 at 42C	41.85	0.04	0.11
ALE2 at 42C, ALE3 at 42C, ALE5 at 42C, ALE10 at 42C	31.76	0.04	0.11
ALE2 at 42C, ALE3 at 42C, ALE6 at 42C, ALE7 at 42C	15.44	0.09	0.13
ALE2 at 42C, ALE3 at 42C, ALE6 at 42C, ALE8 at 42C	17.17	0.09	0.13
ALE2 at 42C, ALE3 at 42C, ALE6 at 42C, ALE9 at 42C	20.49	0.07	0.12
ALE2 at 42C, ALE3 at 42C, ALE6 at 42C, ALE10 at 42C	18.29	0.08	0.12
ALE2 at 42C, ALE3 at 42C, ALE7 at 42C, ALE8 at 42C	16.05	0.07	0.12
ALE2 at 42C, ALE3 at 42C, ALE7 at 42C, ALE9 at 42C	25.03	0.06	0.12
ALE2 at 42C, ALE3 at 42C, ALE7 at 42C, ALE10 at 42C	23.14	0.06	0.11
ALE2 at 42C, ALE3 at 42C, ALE8 at 42C, ALE9 at 42C	22.07	0.05	0.11
ALE2 at 42C, ALE3 at 42C, ALE8 at 42C, ALE10 at 42C	20.78	0.06	0.11
ALE2 at 42C, ALE3 at 42C, ALE9 at 42C, ALE10 at 42C	31.05	0.05	0.11
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE6 at 42C	19.43	0.07	0.12
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE7 at 42C	24.21	0.06	0.11
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE8 at 42C	23.82	0.05	0.11
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE9 at 42C	34.91	0.05	0.11
ALE2 at 42C, ALE4 at 42C, ALE5 at 42C, ALE10 at 42C	31.65	0.06	0.12
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C, ALE7 at 42C	15.26	0.11	0.14
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C, ALE8 at 42C	19.30	0.10	0.14
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C, ALE9 at 42C	18.95	0.08	0.12
ALE2 at 42C, ALE4 at 42C, ALE6 at 42C, ALE10 at 42C	20.31	0.09	0.13
ALE2 at 42C, ALE4 at 42C, ALE7 at 42C, ALE8 at 42C	16.92	0.08	0.12
ALE2 at 42C, ALE4 at 42C, ALE7 at 42C, ALE9 at 42C	22.27	0.07	0.11
ALE2 at 42C, ALE4 at 42C, ALE7 at 42C, ALE10 at 42C	23.93	0.09	0.13
ALE2 at 42C, ALE4 at 42C, ALE8 at 42C, ALE9 at 42C	20.65	0.06	0.12
ALE2 at 42C, ALE4 at 42C, ALE8 at 42C, ALE10 at 42C	24.17	0.06	0.12
ALE2 at 42C, ALE4 at 42C, ALE9 at 42C, ALE10 at 42C	29.21	0.06	0.11
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C, ALE7 at 42C	14.77	0.08	0.11
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C, ALE8 at 42C	17.21	0.08	0.13
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C, ALE9 at 42C	19.89	0.07	0.12
ALE2 at 42C, ALE5 at 42C, ALE6 at 42C, ALE10 at 42C	18.13	0.07	0.11
ALE2 at 42C, ALE5 at 42C, ALE7 at 42C, ALE8 at 42C	16.28	0.06	0.10
ALE2 at 42C, ALE5 at 42C, ALE7 at 42C, ALE9 at 42C	28.39	0.06	0.11
ALE2 at 42C, ALE5 at 42C, ALE7 at 42C, ALE10 at 42C	25.70	0.06	0.11
ALE2 at 42C, ALE5 at 42C, ALE8 at 42C, ALE9 at 42C	22.13	0.05	0.11
ALE2 at 42C, ALE5 at 42C, ALE8 at 42C, ALE10 at 42C	21.73	0.05	0.11
ALE2 at 42C, ALE5 at 42C, ALE9 at 42C, ALE10 at 42C	33.29	0.05	0.11
ALE2 at 42C, ALE6 at 42C, ALE7 at 42C, ALE8 at 42C	13.82	0.13	0.14
ALE2 at 42C, ALE6 at 42C, ALE7 at 42C, ALE9 at 42C	14.12	0.11	0.13
ALE2 at 42C, ALE6 at 42C, ALE7 at 42C, ALE10 at 42C	14.93	0.11	0.13
ALE2 at 42C, ALE6 at 42C, ALE8 at 42C, ALE9 at 42C	15.62	0.08	0.12
ALE2 at 42C, ALE6 at 42C, ALE8 at 42C, ALE10 at 42C	18.46	0.09	0.12
ALE2 at 42C, ALE6 at 42C, ALE9 at 42C, ALE10 at 42C	17.88	0.08	0.12
ALE2 at 42C, ALE7 at 42C, ALE8 at 42C, ALE9 at 42C	14.36	0.08	0.12
ALE2 at 42C, ALE7 at 42C, ALE8 at 42C, ALE10 at 42C	16.69	0.08	0.12
ALE2 at 42C, ALE7 at 42C, ALE9 at 42C, ALE10 at 42C	24.15	0.07	0.12
ALE2 at 42C, ALE8 at 42C, ALE9 at 42C, ALE10 at 42C	19.81	0.06	0.12
ALE3 at 42C, ALE4 at 42C, ALE5 at 42C, ALE6 at 42C	19.94	0.06	0.11
ALE3 at 42C, ALE4 at 42C, ALE5 at 42C, ALE7 at 42C	25.78	0.06	0.11
