Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE3 at 42C, ALE4 at 42C, ALE5 at 42C	41.26	1.01	0.51
ALE3 at 42C, ALE4 at 42C, ALE6 at 42C	24.19	1.67	0.54
ALE3 at 42C, ALE4 at 42C, ALE7 at 42C	28.90	1.70	0.54
ALE3 at 42C, ALE4 at 42C, ALE8 at 42C	27.37	1.30	0.55
ALE3 at 42C, ALE4 at 42C, ALE9 at 42C	39.09	1.13	0.52
ALE3 at 42C, ALE4 at 42C, ALE10 at 42C	36.18	1.38	0.54
ALE3 at 42C, ALE5 at 42C, ALE6 at 42C	26.02	1.30	0.50
ALE3 at 42C, ALE5 at 42C, ALE7 at 42C	33.91	1.33	0.51
ALE3 at 42C, ALE5 at 42C, ALE8 at 42C	28.23	1.06	0.50
ALE3 at 42C, ALE5 at 42C, ALE9 at 42C	51.37	0.90	0.49
ALE3 at 42C, ALE5 at 42C, ALE10 at 42C	38.72	1.09	0.51
ALE3 at 42C, ALE6 at 42C, ALE7 at 42C	21.50	2.37	0.57
ALE3 at 42C, ALE6 at 42C, ALE8 at 42C	22.55	1.72	0.53
ALE3 at 42C, ALE6 at 42C, ALE9 at 42C	26.95	1.45	0.53
ALE3 at 42C, ALE6 at 42C, ALE10 at 42C	23.94	1.80	0.59
ALE3 at 42C, ALE7 at 42C, ALE8 at 42C	22.19	1.76	0.56
ALE3 at 42C, ALE7 at 42C, ALE9 at 42C	31.66	1.49	0.52
ALE3 at 42C, ALE7 at 42C, ALE10 at 42C	29.04	1.83	0.57
ALE3 at 42C, ALE8 at 42C, ALE9 at 42C	26.86	1.15	0.53
ALE3 at 42C, ALE8 at 42C, ALE10 at 42C	27.17	1.37	0.52
ALE3 at 42C, ALE9 at 42C, ALE10 at 42C	36.27	1.19	0.52
ALE4 at 42C, ALE5 at 42C, ALE6 at 42C	24.44	1.68	0.53
ALE4 at 42C, ALE5 at 42C, ALE7 at 42C	30.81	1.68	0.54
ALE4 at 42C, ALE5 at 42C, ALE8 at 42C	29.03	1.29	0.52
ALE4 at 42C, ALE5 at 42C, ALE9 at 42C	39.46	1.09	0.52
ALE4 at 42C, ALE5 at 42C, ALE10 at 42C	37.61	1.37	0.54
ALE4 at 42C, ALE6 at 42C, ALE7 at 42C	27.70	2.99	0.63
ALE4 at 42C, ALE6 at 42C, ALE8 at 42C	35.38	2.19	0.59
ALE4 at 42C, ALE6 at 42C, ALE9 at 42C	24.06	1.80	0.57
ALE4 at 42C, ALE6 at 42C, ALE10 at 42C	34.60	2.28	0.59
ALE4 at 42C, ALE7 at 42C, ALE8 at 42C	30.92	2.27	0.58
ALE4 at 42C, ALE7 at 42C, ALE9 at 42C	27.22	1.89	0.56
ALE4 at 42C, ALE7 at 42C, ALE10 at 42C	38.44	2.38	0.58
ALE4 at 42C, ALE8 at 42C, ALE9 at 42C	25.60	1.44	0.56
ALE4 at 42C, ALE8 at 42C, ALE10 at 42C	43.34	1.78	0.59
ALE4 at 42C, ALE9 at 42C, ALE10 at 42C	33.73	1.50	0.54
ALE5 at 42C, ALE6 at 42C, ALE7 at 42C	20.60	2.31	0.57
ALE5 at 42C, ALE6 at 42C, ALE8 at 42C	21.31	1.70	0.54
