Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
ALE4 at 42C,ALE9 at 42C,ALE10 at 42C	4.46	0.09	0.13
ALE5 at 42C,ALE6 at 42C,ALE7 at 42C	1.25	0.08	0.11
ALE5 at 42C,ALE6 at 42C,ALE8 at 42C	2.22	0.09	0.12
ALE5 at 42C,ALE6 at 42C,ALE9 at 42C	3.38	0.08	0.13
ALE5 at 42C,ALE6 at 42C,ALE10 at 42C	2.73	0.08	0.12
ALE5 at 42C,ALE7 at 42C,ALE8 at 42C	1.81	0.06	0.11
ALE5 at 42C,ALE7 at 42C,ALE9 at 42C	2.13	0.07	0.12
ALE5 at 42C,ALE7 at 42C,ALE10 at 42C	3.91	0.07	0.11
ALE5 at 42C,ALE8 at 42C,ALE9 at 42C	3.13	0.06	0.13
ALE5 at 42C,ALE8 at 42C,ALE10 at 42C	2.81	0.07	0.12
ALE5 at 42C,ALE9 at 42C,ALE10 at 42C	3.99	0.07	0.12
ALE6 at 42C,ALE7 at 42C,ALE8 at 42C	4.18	0.12	0.13
ALE6 at 42C,ALE7 at 42C,ALE9 at 42C	1.22	0.11	0.12
ALE6 at 42C,ALE7 at 42C,ALE10 at 42C	3.84	0.12	0.13
ALE6 at 42C,ALE8 at 42C,ALE9 at 42C	3.06	0.11	0.15
ALE6 at 42C,ALE8 at 42C,ALE10 at 42C	7.13	0.13	0.15
ALE6 at 42C,ALE9 at 42C,ALE10 at 42C	2.65	0.11	0.13
ALE7 at 42C,ALE8 at 42C,ALE9 at 42C	1.23	0.10	0.13
ALE7 at 42C,ALE8 at 42C,ALE10 at 42C	5.84	0.10	0.13
ALE7 at 42C,ALE9 at 42C,ALE10 at 42C	3.10	0.09	0.12
ALE8 at 42C,ALE9 at 42C,ALE10 at 42C	2.51	0.10	0.15
ALE1 at 42C,ALE2 at 42C,ALE3 at 42C,ALE4 at 42C	0.86	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE3 at 42C,ALE5 at 42C	1.39	0.00	0.01
ALE1 at 42C,ALE2 at 42C,ALE3 at 42C,ALE6 at 42C	1.12	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE3 at 42C,ALE7 at 42C	0.37	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE3 at 42C,ALE8 at 42C	0.85	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE3 at 42C,ALE9 at 42C	1.12	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE3 at 42C,ALE10 at 42C	0.83	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE4 at 42C,ALE5 at 42C	0.64	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE4 at 42C,ALE6 at 42C	0.18	0.00	0.03
ALE1 at 42C,ALE2 at 42C,ALE4 at 42C,ALE7 at 42C	0.34	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE4 at 42C,ALE8 at 42C	0.79	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE4 at 42C,ALE9 at 42C	0.84	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE4 at 42C,ALE10 at 42C	0.39	0.00	0.03
ALE1 at 42C,ALE2 at 42C,ALE5 at 42C,ALE6 at 42C	1.12	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE5 at 42C,ALE7 at 42C	0.37	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE5 at 42C,ALE8 at 42C	1.27	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE5 at 42C,ALE9 at 42C	1.13	0.00	0.03
ALE1 at 42C,ALE2 at 42C,ALE5 at 42C,ALE10 at 42C	0.00	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE6 at 42C,ALE7 at 42C	0.15	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE6 at 42C,ALE8 at 42C	0.87	0.00	0.03
ALE1 at 42C,ALE2 at 42C,ALE6 at 42C,ALE9 at 42C	1.64	0.00	0.03
ALE1 at 42C,ALE2 at 42C,ALE6 at 42C,ALE10 at 42C	0.34	0.00	0.03
ALE1 at 42C,ALE2 at 42C,ALE7 at 42C,ALE8 at 42C	0.34	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE7 at 42C,ALE9 at 42C	0.18	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE7 at 42C,ALE10 at 42C	0.17	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE8 at 42C,ALE9 at 42C	1.45	0.00	0.03
ALE1 at 42C,ALE2 at 42C,ALE8 at 42C,ALE10 at 42C	0.19	0.00	0.02
ALE1 at 42C,ALE2 at 42C,ALE9 at 42C,ALE10 at 42C	0.41	0.00	0.03
ALE1 at 42C,ALE3 at 42C,ALE4 at 42C,ALE5 at 42C	0.87	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE4 at 42C,ALE6 at 42C	0.18	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE4 at 42C,ALE7 at 42C	0.70	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE4 at 42C,ALE8 at 42C	0.80	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE4 at 42C,ALE9 at 42C	0.85	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE4 at 42C,ALE10 at 42C	1.39	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE5 at 42C,ALE6 at 42C	0.57	0.00	0.03
ALE1 at 42C,ALE3 at 42C,ALE5 at 42C,ALE7 at 42C	0.37	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE5 at 42C,ALE8 at 42C	0.65	0.00	0.01
ALE1 at 42C,ALE3 at 42C,ALE5 at 42C,ALE9 at 42C	0.69	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE5 at 42C,ALE10 at 42C	0.42	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE6 at 42C,ALE7 at 42C	0.16	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE6 at 42C,ALE8 at 42C	0.53	0.00	0.03
ALE1 at 42C,ALE3 at 42C,ALE6 at 42C,ALE9 at 42C	0.92	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE6 at 42C,ALE10 at 42C	0.17	0.00	0.03
ALE1 at 42C,ALE3 at 42C,ALE7 at 42C,ALE8 at 42C	0.86	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE7 at 42C,ALE9 at 42C	0.36	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE7 at 42C,ALE10 at 42C	0.51	0.00	0.03
ALE1 at 42C,ALE3 at 42C,ALE8 at 42C,ALE9 at 42C	0.84	0.00	0.02
ALE1 at 42C,ALE3 at 42C,ALE8 at 42C,ALE10 at 42C	0.59	0.00	0.03
ALE1 at 42C,ALE3 at 42C,ALE9 at 42C,ALE10 at 42C	0.83	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE5 at 42C,ALE6 at 42C	0.71	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE5 at 42C,ALE7 at 42C	0.17	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE5 at 42C,ALE8 at 42C	1.01	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE5 at 42C,ALE9 at 42C	0.64	0.00	0.03
ALE1 at 42C,ALE4 at 42C,ALE5 at 42C,ALE10 at 42C	0.99	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE6 at 42C,ALE7 at 42C	1.03	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE6 at 42C,ALE8 at 42C	1.00	0.00	0.03
ALE1 at 42C,ALE4 at 42C,ALE6 at 42C,ALE9 at 42C	0.17	0.00	0.03
ALE1 at 42C,ALE4 at 42C,ALE6 at 42C,ALE10 at 42C	1.15	0.00	0.03
ALE1 at 42C,ALE4 at 42C,ALE7 at 42C,ALE8 at 42C	1.47	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE7 at 42C,ALE9 at 42C	0.51	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE7 at 42C,ALE10 at 42C	1.45	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE8 at 42C,ALE9 at 42C	0.79	0.00	0.02
ALE1 at 42C,ALE4 at 42C,ALE8 at 42C,ALE10 at 42C	2.21	0.00	0.02
