Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)	D Value
NaCl-NaCl-4,Mal-Mal-4	0.0	0.1	1.4	-0.09
NaCl-NaCl-4,Mal-Mal-5	0.0	0.1	1.1	-0.11
NaCl-NaCl-5,Mal-Mal-1	0.0	0.2	1.3	-0.15
NaCl-NaCl-5,Mal-Mal-2	11.1	0.1	0.9	12.87
NaCl-NaCl-5,Mal-Mal-3	0.0	0.1	0.9	-0.15
NaCl-NaCl-5,Mal-Mal-4	11.1	0.1	0.9	12.87
NaCl-NaCl-5,Mal-Mal-5	0.0	0.1	0.9	-0.11
NaCl-NaCl-1,MCL-MCL-1	0.0	0.3	0.9	-0.37
NaCl-NaCl-1,MCL-MCL-2	0.0	0.3	0.9	-0.31
NaCl-NaCl-1,MCL-MCL-3	0.0	0.4	1.0	-0.40
NaCl-NaCl-1,MCL-MCL-4	0.0	0.6	1.0	-0.53
NaCl-NaCl-1,MCL-MCL-5	0.0	0.3	0.9	-0.38
NaCl-NaCl-2,MCL-MCL-1	3.1	0.3	1.0	2.83
NaCl-NaCl-2,MCL-MCL-2	0.0	0.2	0.8	-0.23
NaCl-NaCl-2,MCL-MCL-3	0.0	0.3	1.0	-0.33
NaCl-NaCl-2,MCL-MCL-4	0.0	0.5	1.0	-0.44
NaCl-NaCl-2,MCL-MCL-5	0.0	0.3	0.9	-0.30
NaCl-NaCl-3,MCL-MCL-1	0.0	0.2	0.9	-0.21
NaCl-NaCl-3,MCL-MCL-2	0.0	0.3	1.2	-0.21
NaCl-NaCl-3,MCL-MCL-3	0.0	0.3	1.2	-0.26
NaCl-NaCl-3,MCL-MCL-4	0.0	0.3	0.9	-0.31
NaCl-NaCl-3,MCL-MCL-5	0.0	0.3	1.3	-0.27
NaCl-NaCl-4,MCL-MCL-1	0.0	0.2	1.1	-0.18
NaCl-NaCl-4,MCL-MCL-2	0.0	0.2	1.3	-0.16
NaCl-NaCl-4,MCL-MCL-3	0.0	0.2	0.9	-0.18
NaCl-NaCl-4,MCL-MCL-4	0.0	0.1	0.7	-0.20
NaCl-NaCl-4,MCL-MCL-5	0.0	0.2	1.2	-0.20
NaCl-NaCl-5,MCL-MCL-1	0.0	0.2	0.9	-0.17
NaCl-NaCl-5,MCL-MCL-2	0.0	0.2	1.1	-0.15
NaCl-NaCl-5,MCL-MCL-3	0.0	0.2	1.1	-0.22
NaCl-NaCl-5,MCL-MCL-4	0.0	0.3	1.0	-0.29
NaCl-NaCl-5,MCL-MCL-5	0.0	0.3	1.1	-0.22
NaCl-NaCl-1,Cro-Cro-1	10.4	0.6	1.0	9.46
NaCl-NaCl-1,Cro-Cro-2	10.3	0.7	1.1	8.90
NaCl-NaCl-1,Cro-Cro-3	15.2	0.4	1.0	14.40
NaCl-NaCl-1,Cro-Cro-4	11.0	0.6	1.0	10.08
NaCl-NaCl-1,Cro-Cro-5	13.3	0.4	0.9	14.07
NaCl-NaCl-2,Cro-Cro-1	14.0	0.6	1.0	12.84
NaCl-NaCl-2,Cro-Cro-2	13.9	0.5	1.0	13.47
NaCl-NaCl-2,Cro-Cro-3	18.8	0.4	1.0	17.57
NaCl-NaCl-2,Cro-Cro-4	12.8	0.5	1.0	12.00
NaCl-NaCl-2,Cro-Cro-5	16.0	0.4	1.0	15.01
NaCl-NaCl-3,Cro-Cro-1	17.7	0.3	0.9	19.03
NaCl-NaCl-3,Cro-Cro-2	17.5	0.3	0.8	20.86
NaCl-NaCl-3,Cro-Cro-3	27.9	0.2	1.0	26.46
NaCl-NaCl-3,Cro-Cro-4	16.4	0.4	1.0	15.50
NaCl-NaCl-3,Cro-Cro-5	25.9	0.3	1.0	24.80
NaCl-NaCl-4,Cro-Cro-1	17.4	0.2	0.7	23.86
NaCl-NaCl-4,Cro-Cro-2	17.1	0.2	0.7	25.21
NaCl-NaCl-4,Cro-Cro-3	36.4	0.2	1.1	32.86
NaCl-NaCl-4,Cro-Cro-4	19.0	0.3	0.9	21.13
NaCl-NaCl-4,Cro-Cro-5	27.3	0.2	0.9	29.70
NaCl-NaCl-5,Cro-Cro-1	16.2	0.2	0.8	19.93
NaCl-NaCl-5,Cro-Cro-2	16.0	0.3	0.8	18.95
NaCl-NaCl-5,Cro-Cro-3	31.6	0.2	1.1	28.99
NaCl-NaCl-5,Cro-Cro-4	17.6	0.3	0.9	20.30
NaCl-NaCl-5,Cro-Cro-5	24.5	0.3	1.2	20.65
NaCl-NaCl-1,MG-MG-1	35.2	0.6	1.1	32.01
NaCl-NaCl-1,MG-MG-2	38.7	0.6	1.1	33.74
NaCl-NaCl-1,MG-MG-3	32.3	0.6	1.1	29.16
NaCl-NaCl-1,MG-MG-4	24.5	0.5	1.0	23.07
NaCl-NaCl-1,MG-MG-5	40.4	0.6	1.1	36.50
NaCl-NaCl-2,MG-MG-1	49.5	0.6	1.1	45.22
NaCl-NaCl-2,MG-MG-2	53.8	0.5	1.1	48.67
NaCl-NaCl-2,MG-MG-3	48.7	0.5	1.1	43.01
NaCl-NaCl-2,MG-MG-4	31.3	0.5	1.0	29.94
NaCl-NaCl-2,MG-MG-5	59.5	0.5	1.1	53.20
NaCl-NaCl-3,MG-MG-1	0.0	0.2	0.8	-0.29
NaCl-NaCl-3,MG-MG-2	0.0	0.1	0.7	-0.20
NaCl-NaCl-3,MG-MG-3	0.0	0.2	0.7	-0.21
NaCl-NaCl-3,MG-MG-4	3.2	0.4	1.1	2.58
NaCl-NaCl-3,MG-MG-5	0.0	0.1	0.7	-0.19
NaCl-NaCl-4,MG-MG-1	0.0	0.1	0.5	-0.17
NaCl-NaCl-4,MG-MG-2	0.0	0.0	0.4	-0.08
NaCl-NaCl-4,MG-MG-3	0.0	0.0	0.2	-0.05
NaCl-NaCl-4,MG-MG-4	0.0	0.2	0.8	-0.22
NaCl-NaCl-4,MG-MG-5	0.0	0.0	0.0	0.00
NaCl-NaCl-5,MG-MG-1	0.0	0.2	0.7	-0.24
NaCl-NaCl-5,MG-MG-2	0.0	0.1	0.6	-0.16
NaCl-NaCl-5,MG-MG-3	0.0	0.1	0.6	-0.17
NaCl-NaCl-5,MG-MG-4	0.0	0.2	0.8	-0.24
NaCl-NaCl-5,MG-MG-5	0.0	0.1	0.5	-0.13
NaCl-NaCl-1,BuOH-BuOH-1	20.2	0.5	1.1	18.66
NaCl-NaCl-1,BuOH-BuOH-2	2.3	0.4	1.0	1.85
NaCl-NaCl-1,BuOH-BuOH-3	9.0	0.5	1.1	7.88
NaCl-NaCl-1,BuOH-BuOH-4	0.0	0.2	0.8	-0.31
NaCl-NaCl-1,BuOH-BuOH-5	4.2	0.5	1.0	3.76
NaCl-NaCl-2,BuOH-BuOH-1	27.0	0.4	1.0	27.17
NaCl-NaCl-2,BuOH-BuOH-2	0.0	0.4	1.0	-0.39
NaCl-NaCl-2,BuOH-BuOH-3	8.1	0.3	1.0	8.09
NaCl-NaCl-2,BuOH-BuOH-4	0.0	0.2	0.9	-0.25
NaCl-NaCl-2,BuOH-BuOH-5	0.0	0.4	1.0	-0.40
NaCl-NaCl-3,BuOH-BuOH-1	0.0	0.2	1.0	-0.25
NaCl-NaCl-3,BuOH-BuOH-2	0.0	0.3	1.1	-0.30
NaCl-NaCl-3,BuOH-BuOH-3	0.0	0.3	1.1	-0.30
NaCl-NaCl-3,BuOH-BuOH-4	0.0	0.2	1.1	-0.19
NaCl-NaCl-3,BuOH-BuOH-5	3.3	0.3	1.0	2.95
NaCl-NaCl-4,BuOH-BuOH-1	0.0	0.1	0.9	-0.17
NaCl-NaCl-4,BuOH-BuOH-2	0.0	0.2	1.1	-0.21
NaCl-NaCl-4,BuOH-BuOH-3	0.0	0.2	0.9	-0.20
NaCl-NaCl-4,BuOH-BuOH-4	0.0	0.2	1.2	-0.16
NaCl-NaCl-4,BuOH-BuOH-5	0.0	0.2	1.0	-0.24
NaCl-NaCl-5,BuOH-BuOH-1	0.0	0.2	1.0	-0.20
NaCl-NaCl-5,BuOH-BuOH-2	0.0	0.3	1.0	-0.25
NaCl-NaCl-5,BuOH-BuOH-3	0.0	0.3	1.0	-0.25
NaCl-NaCl-5,BuOH-BuOH-4	0.0	0.2	1.0	-0.17
NaCl-NaCl-5,BuOH-BuOH-5	0.0	0.3	1.1	-0.29
NaCl-NaCl-1,CPC-CPC-1	0.0	0.2	0.7	-0.23
NaCl-NaCl-1,CPC-CPC-2	9.3	0.4	1.0	8.89
NaCl-NaCl-1,CPC-CPC-3	9.4	0.4	1.0	8.94
NaCl-NaCl-1,CPC-CPC-4	4.7	0.5	1.0	4.25
NaCl-NaCl-1,CPC-CPC-5	7.0	0.5	1.1	5.94
NaCl-NaCl-2,CPC-CPC-1	0.0	0.1	0.7	-0.17
NaCl-NaCl-2,CPC-CPC-2	14.1	0.4	1.0	13.41
NaCl-NaCl-2,CPC-CPC-3	14.3	0.4	1.1	12.57
NaCl-NaCl-2,CPC-CPC-4	8.6	0.4	1.0	8.24
NaCl-NaCl-2,CPC-CPC-5	11.3	0.4	1.1	10.05
NaCl-NaCl-3,CPC-CPC-1	0.0	0.1	1.0	-0.15
NaCl-NaCl-3,CPC-CPC-2	0.0	0.3	1.1	-0.26
NaCl-NaCl-3,CPC-CPC-3	0.0	0.2	0.9	-0.23
NaCl-NaCl-3,CPC-CPC-4	0.0	0.2	1.0	-0.23
NaCl-NaCl-3,CPC-CPC-5	0.0	0.2	0.9	-0.21
NaCl-NaCl-4,CPC-CPC-1	0.0	0.1	0.9	-0.08
NaCl-NaCl-4,CPC-CPC-2	0.0	0.2	0.9	-0.18
NaCl-NaCl-4,CPC-CPC-3	0.0	0.2	0.9	-0.18
NaCl-NaCl-4,CPC-CPC-4	0.0	0.1	0.6	-0.11
NaCl-NaCl-4,CPC-CPC-5	0.0	0.1	0.5	-0.11
NaCl-NaCl-5,CPC-CPC-1	0.0	0.1	0.9	-0.11
NaCl-NaCl-5,CPC-CPC-2	0.0	0.2	0.9	-0.22
NaCl-NaCl-5,CPC-CPC-3	0.0	0.2	0.9	-0.21
NaCl-NaCl-5,CPC-CPC-4	0.0	0.1	0.8	-0.18
NaCl-NaCl-5,CPC-CPC-5	0.0	0.2	0.9	-0.20
KCl-KCl-1,CoCl2-CoCl2-1	5.9	0.5	1.0	5.47
KCl-KCl-1,CoCl2-CoCl2-2	0.0	0.3	0.8	-0.33
KCl-KCl-1,CoCl2-CoCl2-3	0.0	0.4	0.9	-0.44
KCl-KCl-1,CoCl2-CoCl2-4	2.1	0.4	0.9	1.93
KCl-KCl-1,CoCl2-CoCl2-5	0.0	0.3	0.8	-0.39
KCl-KCl-2,CoCl2-CoCl2-1	3.5	0.2	0.9	3.67
KCl-KCl-2,CoCl2-CoCl2-2	0.0	0.2	1.1	-0.18
KCl-KCl-2,CoCl2-CoCl2-3	0.0	0.2	0.8	-0.22
KCl-KCl-2,CoCl2-CoCl2-4	0.0	0.2	0.9	-0.23
KCl-KCl-2,CoCl2-CoCl2-5	0.0	0.1	0.7	-0.18
KCl-KCl-3,CoCl2-CoCl2-1	3.2	0.4	1.2	2.35
KCl-KCl-3,CoCl2-CoCl2-2	0.0	0.2	1.1	-0.22
KCl-KCl-3,CoCl2-CoCl2-3	0.0	0.4	1.1	-0.33
KCl-KCl-3,CoCl2-CoCl2-4	3.5	0.3	1.1	2.98
KCl-KCl-3,CoCl2-CoCl2-5	0.0	0.4	1.1	-0.33
KCl-KCl-4,CoCl2-CoCl2-1	0.0	0.3	1.1	-0.32
KCl-KCl-4,CoCl2-CoCl2-2	0.0	0.2	1.0	-0.19
KCl-KCl-4,CoCl2-CoCl2-3	3.8	0.3	1.1	3.26
KCl-KCl-4,CoCl2-CoCl2-4	0.0	0.3	1.1	-0.29
KCl-KCl-4,CoCl2-CoCl2-5	15.1	0.3	1.1	13.48
