Strain Combination	Observed Ratio (%)	Observed Count	Simulated Mean (%)	Simulated Std Dev (%)	D Value
MG-MG-5,CPC-CPC-2	19.05	6	0.40	1.12	16.67
MG-MG-5,CPC-CPC-3	16.13	5	0.31	0.99	15.93
MG-MG-5,CPC-CPC-4	9.68	3	0.42	1.16	7.99
MG-MG-5,CPC-CPC-5	15.87	5	0.54	1.33	11.52
BuOH-BuOH-1,CPC-CPC-1	0.00	0	0.13	0.78	-0.16
BuOH-BuOH-1,CPC-CPC-2	34.92	11	0.35	1.04	33.15
BuOH-BuOH-1,CPC-CPC-3	22.58	7	0.35	1.05	21.22
BuOH-BuOH-1,CPC-CPC-4	16.13	5	0.28	0.96	16.53
BuOH-BuOH-1,CPC-CPC-5	22.22	7	0.30	0.97	22.52
BuOH-BuOH-2,CPC-CPC-1	0.00	0	0.15	0.88	-0.17
BuOH-BuOH-2,CPC-CPC-2	19.35	6	0.35	1.05	18.07
BuOH-BuOH-2,CPC-CPC-3	6.56	2	0.29	0.95	6.62
BuOH-BuOH-2,CPC-CPC-4	6.56	2	0.26	0.91	6.89
BuOH-BuOH-2,CPC-CPC-5	6.45	2	0.23	0.85	7.29
BuOH-BuOH-3,CPC-CPC-1	0.00	0	0.15	0.87	-0.17
BuOH-BuOH-3,CPC-CPC-2	25.40	8	0.35	1.06	23.71
BuOH-BuOH-3,CPC-CPC-3	12.90	4	0.31	1.02	12.37
BuOH-BuOH-3,CPC-CPC-4	9.68	3	0.33	1.02	9.18
BuOH-BuOH-3,CPC-CPC-5	12.70	4	0.29	0.95	13.06
BuOH-BuOH-4,CPC-CPC-1	0.00	0	0.13	1.05	-0.13
BuOH-BuOH-4,CPC-CPC-2	17.39	4	0.23	1.02	16.79
BuOH-BuOH-4,CPC-CPC-3	4.44	1	0.17	0.90	4.78
BuOH-BuOH-4,CPC-CPC-4	4.44	1	0.19	0.92	4.61
BuOH-BuOH-4,CPC-CPC-5	8.70	2	0.18	0.88	9.64
BuOH-BuOH-5,CPC-CPC-1	0.00	0	0.18	0.85	-0.21
BuOH-BuOH-5,CPC-CPC-2	8.57	3	0.34	0.97	8.53
BuOH-BuOH-5,CPC-CPC-3	2.90	1	0.34	1.06	2.40
BuOH-BuOH-5,CPC-CPC-4	5.80	2	0.24	0.81	6.82
BuOH-BuOH-5,CPC-CPC-5	5.71	2	0.28	0.91	5.98
