1)riId,2)riType,3)regulatorId,4)regulatorName,17)firstGene,19)targetTuOrGene,20)confidenceLevel
RDBECOLIRIC03912,tf-promoter,RDBECOLITFC00123,GadRcs,gadA,RDBECOLITUC03638:gadAX,C
RDBECOLIRIC03913,tf-promoter,RDBECOLITFC00187,GadX,gadA,RDBECOLITUC03638:gadAX,S
RDBECOLIRIC03914,tf-promoter,RDBECOLITFC00187,GadX,gadA,RDBECOLITUC03638:gadAX,S
RDBECOLIRIC03915,tf-promoter,RDBECOLITFC00187,GadX,gadA,RDBECOLITUC03638:gadAX,S
RDBECOLIRIC03916,tf-promoter,RDBECOLITFC00187,GadX,gadA,RDBECOLITUC03638:gadAX,S
RDBECOLIRIC03917,tf-promoter,RDBECOLITFC00128,FNR,gadA,RDBECOLITUC03638:gadAX,W
RDBECOLIRIC03918,tf-promoter,RDBECOLITFC00189,CRP,gadA,RDBECOLITUC03638:gadAX,W
RDBECOLIRIC03919,tf-promoter,RDBECOLITFC00063,TorR,gadA,RDBECOLITUC03638:gadAX,W
RDBECOLIRIC03920,tf-promoter,RDBECOLITFC00023,GadW,gadA,RDBECOLITUC03638:gadAX,S
RDBECOLIRIC03921,tf-promoter,RDBECOLITFC00020,H-NS,gadA,RDBECOLITUC03638:gadAX,S
RDBECOLIRIC03922,tf-promoter,RDBECOLITFC00189,CRP,glpE,RDBECOLITUC03595:glpEGR,S
RDBECOLIRIC03923,tf-promoter,RDBECOLITFC00052,FlhDC,hydN,RDBECOLITUC03600:hydN-hypF,W
RDBECOLIRIC03924,tf-promoter,RDBECOLITFC00072,FhlA,hydN,RDBECOLITUC03600:hydN-hypF,S
RDBECOLIRIC03925,tf-promoter,RDBECOLITFC00189,CRP,dadA,RDBECOLITUC03604:dadAX,S
RDBECOLIRIC03926,tf-promoter,RDBECOLITFC00189,CRP,dadA,RDBECOLITUC03604:dadAX,S
RDBECOLIRIC03927,tf-promoter,RDBECOLITFC00014,Lrp,dadA,RDBECOLITUC03604:dadAX,C
