Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+3, Ara+5, Ara-5	59.07	35.12	0.69
Ara+3, Ara+5, Ara-6	61.21	35.66	0.68
Ara+3, Ara-1, Ara-2	59.74	36.62	0.69
Ara+3, Ara-1, Ara-3	58.44	36.90	0.72
Ara+3, Ara-1, Ara-4	60.58	35.22	0.72
Ara+3, Ara-1, Ara-5	60.21	35.44	0.69
Ara+3, Ara-1, Ara-6	59.04	36.00	0.67
Ara+3, Ara-2, Ara-3	61.97	37.19	0.71
Ara+3, Ara-2, Ara-4	61.20	35.52	0.69
Ara+3, Ara-2, Ara-5	60.00	35.72	0.68
Ara+3, Ara-2, Ara-6	61.25	36.27	0.69
Ara+3, Ara-3, Ara-4	61.92	35.74	0.69
Ara+3, Ara-3, Ara-5	60.08	35.98	0.68
Ara+3, Ara-3, Ara-6	60.91	36.55	0.67
Ara+3, Ara-4, Ara-5	59.72	34.40	0.69
Ara+3, Ara-4, Ara-6	60.42	34.91	0.70
Ara+3, Ara-5, Ara-6	60.09	35.14	0.70
Ara+4, Ara+5, Ara-1	58.10	35.13	0.69
Ara+4, Ara+5, Ara-2	60.37	35.42	0.69
Ara+4, Ara+5, Ara-3	60.84	35.70	0.73
Ara+4, Ara+5, Ara-4	59.63	34.07	0.73
Ara+4, Ara+5, Ara-5	60.59	34.33	0.70
Ara+4, Ara+5, Ara-6	62.21	34.87	0.70
Ara+4, Ara-1, Ara-2	57.97	35.79	0.70
Ara+4, Ara-1, Ara-3	57.83	36.04	0.67
Ara+4, Ara-1, Ara-4	59.94	34.40	0.72
Ara+4, Ara-1, Ara-5	60.93	34.62	0.71
Ara+4, Ara-1, Ara-6	59.50	35.18	0.71
Ara+4, Ara-2, Ara-3	59.82	36.35	0.68
Ara+4, Ara-2, Ara-4	59.10	34.71	0.68
Ara+4, Ara-2, Ara-5	58.94	34.97	0.68
Ara+4, Ara-2, Ara-6	59.79	35.43	0.69
Ara+4, Ara-3, Ara-4	60.58	34.96	0.67
Ara+4, Ara-3, Ara-5	60.21	35.11	0.71
Ara+4, Ara-3, Ara-6	60.63	35.70	0.69
Ara+4, Ara-4, Ara-5	59.69	33.62	0.73
Ara+4, Ara-4, Ara-6	60.20	34.12	0.70
Ara+4, Ara-5, Ara-6	61.20	34.32	0.70
Ara+5, Ara-1, Ara-2	57.25	35.74	0.70
Ara+5, Ara-1, Ara-3	56.78	36.03	0.69
Ara+5, Ara-1, Ara-4	58.74	34.39	0.69
Ara+5, Ara-1, Ara-5	59.27	34.60	0.73
Ara+5, Ara-1, Ara-6	58.16	35.17	0.72
Ara+5, Ara-2, Ara-3	59.34	36.31	0.67
Ara+5, Ara-2, Ara-4	58.57	34.68	0.69
Ara+5, Ara-2, Ara-5	58.21	34.90	0.71
Ara+5, Ara-2, Ara-6	59.49	35.49	0.71
Ara+5, Ara-3, Ara-4	59.66	34.90	0.68
Ara+5, Ara-3, Ara-5	58.76	35.18	0.70
Ara+5, Ara-3, Ara-6	59.46	35.71	0.70
Ara+5, Ara-4, Ara-5	58.80	33.59	0.73
Ara+5, Ara-4, Ara-6	59.08	34.12	0.70
Ara+5, Ara-5, Ara-6	59.92	34.32	0.70
Ara-1, Ara-2, Ara-3	68.35	36.66	0.68
Ara-1, Ara-2, Ara-4	69.53	35.03	0.70
Ara-1, Ara-2, Ara-5	69.87	35.19	0.70
Ara-1, Ara-2, Ara-6	68.35	35.78	0.68
Ara-1, Ara-3, Ara-4	70.23	35.27	0.69
Ara-1, Ara-3, Ara-5	70.22	35.49	0.72
Ara-1, Ara-3, Ara-6	67.15	36.08	0.71
Ara-1, Ara-4, Ara-5	71.89	33.90	0.69
Ara-1, Ara-4, Ara-6	69.32	34.37	0.71
Ara-1, Ara-5, Ara-6	70.78	34.65	0.70
Ara-2, Ara-3, Ara-4	70.39	35.55	0.69
Ara-2, Ara-3, Ara-5	68.86	35.77	0.67
Ara-2, Ara-3, Ara-6	69.02	36.33	0.70
Ara-2, Ara-4, Ara-5	68.78	34.20	0.69
Ara-2, Ara-4, Ara-6	68.75	34.70	0.69
Ara-2, Ara-5, Ara-6	68.87	34.89	0.73
Ara-3, Ara-4, Ara-5	69.88	34.40	0.73
Ara-3, Ara-4, Ara-6	69.50	34.96	0.70
Ara-3, Ara-5, Ara-6	68.34	35.19	0.68
Ara-4, Ara-5, Ara-6	69.38	33.63	0.74
Ara+1, Ara+2, Ara+3, Ara+4	68.89	23.00	0.66
Ara+1, Ara+2, Ara+3, Ara+5	67.86	23.02	0.65
Ara+1, Ara+2, Ara+3, Ara-1	54.64	23.30	0.64
Ara+1, Ara+2, Ara+3, Ara-2	57.24	23.48	0.67
Ara+1, Ara+2, Ara+3, Ara-3	56.72	23.68	0.64
Ara+1, Ara+2, Ara+3, Ara-4	55.90	22.48	0.66
Ara+1, Ara+2, Ara+3, Ara-5	55.34	22.63	0.67
Ara+1, Ara+2, Ara+3, Ara-6	57.37	23.04	0.66
Ara+1, Ara+2, Ara+4, Ara+5	69.23	22.43	0.64
Ara+1, Ara+2, Ara+4, Ara-1	55.74	22.65	0.68
Ara+1, Ara+2, Ara+4, Ara-2	56.91	22.88	0.65
Ara+1, Ara+2, Ara+4, Ara-3	57.31	23.03	0.68
Ara+1, Ara+2, Ara+4, Ara-4	56.20	21.89	0.65
Ara+1, Ara+2, Ara+4, Ara-5	56.65	22.04	0.64
Ara+1, Ara+2, Ara+4, Ara-6	58.99	22.43	0.64
Ara+1, Ara+2, Ara+5, Ara-1	53.88	22.64	0.65
Ara+1, Ara+2, Ara+5, Ara-2	55.80	22.86	0.68
Ara+1, Ara+2, Ara+5, Ara-3	55.91	23.04	0.64
Ara+1, Ara+2, Ara+5, Ara-4	54.88	21.89	0.66
Ara+1, Ara+2, Ara+5, Ara-5	55.49	22.02	0.67
Ara+1, Ara+2, Ara+5, Ara-6	57.42	22.41	0.64
Ara+1, Ara+2, Ara-1, Ara-2	52.09	23.09	0.64
Ara+1, Ara+2, Ara-1, Ara-3	51.36	23.30	0.66
Ara+1, Ara+2, Ara-1, Ara-4	53.23	22.16	0.65
Ara+1, Ara+2, Ara-1, Ara-5	53.46	22.23	0.66
Ara+1, Ara+2, Ara-1, Ara-6	53.20	22.64	0.67
Ara+1, Ara+2, Ara-2, Ara-3	53.41	23.50	0.67
Ara+1, Ara+2, Ara-2, Ara-4	52.92	22.35	0.69
Ara+1, Ara+2, Ara-2, Ara-5	52.36	22.47	0.64
Ara+1, Ara+2, Ara-2, Ara-6	53.74	22.88	0.66
Ara+1, Ara+2, Ara-3, Ara-4	53.86	22.53	0.65
Ara+1, Ara+2, Ara-3, Ara-5	52.93	22.64	0.66
Ara+1, Ara+2, Ara-3, Ara-6	54.26	23.04	0.65
Ara+1, Ara+2, Ara-4, Ara-5	52.87	21.49	0.68
Ara+1, Ara+2, Ara-4, Ara-6	53.70	21.88	0.66
Ara+1, Ara+2, Ara-5, Ara-6	54.46	22.04	0.68
Ara+1, Ara+3, Ara+4, Ara+5	68.05	22.21	0.65
Ara+1, Ara+3, Ara+4, Ara-1	54.68	22.46	0.65
Ara+1, Ara+3, Ara+4, Ara-2	56.52	22.66	0.63
Ara+1, Ara+3, Ara+4, Ara-3	57.15	22.83	0.63
Ara+1, Ara+3, Ara+4, Ara-4	55.92	21.70	0.64
Ara+1, Ara+3, Ara+4, Ara-5	55.39	21.81	0.65
Ara+1, Ara+3, Ara+4, Ara-6	57.33	22.22	0.65
Ara+1, Ara+3, Ara+5, Ara-1	53.26	22.41	0.65
Ara+1, Ara+3, Ara+5, Ara-2	55.75	22.65	0.64
Ara+1, Ara+3, Ara+5, Ara-3	55.59	22.83	0.63
Ara+1, Ara+3, Ara+5, Ara-4	54.60	21.69	0.65
Ara+1, Ara+3, Ara+5, Ara-5	54.68	21.87	0.67
Ara+1, Ara+3, Ara+5, Ara-6	56.28	22.22	0.66
Ara+1, Ara+3, Ara-1, Ara-2	52.43	22.88	0.68
Ara+1, Ara+3, Ara-1, Ara-3	51.51	23.06	0.65
Ara+1, Ara+3, Ara-1, Ara-4	53.47	21.87	0.65
Ara+1, Ara+3, Ara-1, Ara-5	52.83	22.09	0.65
Ara+1, Ara+3, Ara-1, Ara-6	51.94	22.46	0.63
Ara+1, Ara+3, Ara-2, Ara-3	53.72	23.28	0.65
Ara+1, Ara+3, Ara-2, Ara-4	53.49	22.10	0.63
Ara+1, Ara+3, Ara-2, Ara-5	52.37	22.26	0.66
Ara+1, Ara+3, Ara-2, Ara-6	53.27	22.65	0.64
Ara+1, Ara+3, Ara-3, Ara-4	53.95	22.31	0.66
Ara+1, Ara+3, Ara-3, Ara-5	52.75	22.42	0.66
Ara+1, Ara+3, Ara-3, Ara-6	53.43	22.84	0.66
Ara+1, Ara+3, Ara-4, Ara-5	52.50	21.29	0.65
Ara+1, Ara+3, Ara-4, Ara-6	52.85	21.75	0.67
Ara+1, Ara+3, Ara-5, Ara-6	52.85	21.79	0.64
Ara+1, Ara+4, Ara+5, Ara-1	54.25	21.87	0.64
Ara+1, Ara+4, Ara+5, Ara-2	55.66	22.08	0.66
Ara+1, Ara+4, Ara+5, Ara-3	56.45	22.25	0.67
Ara+1, Ara+4, Ara+5, Ara-4	55.19	21.14	0.66
Ara+1, Ara+4, Ara+5, Ara-5	55.88	21.23	0.67
Ara+1, Ara+4, Ara+5, Ara-6	57.34	21.63	0.67
Ara+1, Ara+4, Ara-1, Ara-2	51.98	22.30	0.67
Ara+1, Ara+4, Ara-1, Ara-3	51.96	22.47	0.67
Ara+1, Ara+4, Ara-1, Ara-4	53.64	21.40	0.65
Ara+1, Ara+4, Ara-1, Ara-5	54.25	21.50	0.67
Ara+1, Ara+4, Ara-1, Ara-6	53.03	21.88	0.67
Ara+1, Ara+4, Ara-2, Ara-3	53.21	22.72	0.66
Ara+1, Ara+4, Ara-2, Ara-4	52.63	21.57	0.66
Ara+1, Ara+4, Ara-2, Ara-5	52.33	21.66	0.66
Ara+1, Ara+4, Ara-2, Ara-6	53.05	22.07	0.66
Ara+1, Ara+4, Ara-3, Ara-4	54.00	21.71	0.64
Ara+1, Ara+4, Ara-3, Ara-5	53.47	21.90	0.67
Ara+1, Ara+4, Ara-3, Ara-6	54.15	22.25	0.65
Ara+1, Ara+4, Ara-4, Ara-5	53.16	20.76	0.62
Ara+1, Ara+4, Ara-4, Ara-6	53.47	21.15	0.65
Ara+1, Ara+4, Ara-5, Ara-6	54.19	21.28	0.66
Ara+1, Ara+5, Ara-1, Ara-2	50.45	22.30	0.65
Ara+1, Ara+5, Ara-1, Ara-3	50.24	22.48	0.67
Ara+1, Ara+5, Ara-1, Ara-4	52.08	21.31	0.65
Ara+1, Ara+5, Ara-1, Ara-5	52.20	21.44	0.66
Ara+1, Ara+5, Ara-1, Ara-6	51.30	21.85	0.67
Ara+1, Ara+5, Ara-2, Ara-3	51.88	22.70	0.69
Ara+1, Ara+5, Ara-2, Ara-4	51.50	21.51	0.65
Ara+1, Ara+5, Ara-2, Ara-5	51.05	21.70	0.68
Ara+1, Ara+5, Ara-2, Ara-6	51.97	22.05	0.64
Ara+1, Ara+5, Ara-3, Ara-4	52.53	21.69	0.67
Ara+1, Ara+5, Ara-3, Ara-5	51.63	21.84	0.64
Ara+1, Ara+5, Ara-3, Ara-6	52.39	22.23	0.67
Ara+1, Ara+5, Ara-4, Ara-5	51.63	20.73	0.65
Ara+1, Ara+5, Ara-4, Ara-6	51.90	21.12	0.65
Ara+1, Ara+5, Ara-5, Ara-6	52.56	21.27	0.66
Ara+1, Ara-1, Ara-2, Ara-3	52.67	22.97	0.65
Ara+1, Ara-1, Ara-2, Ara-4	53.71	21.77	0.68
Ara+1, Ara-1, Ara-2, Ara-5	53.37	21.93	0.64
Ara+1, Ara-1, Ara-2, Ara-6	52.43	22.30	0.67
Ara+1, Ara-1, Ara-3, Ara-4	53.90	21.93	0.64
Ara+1, Ara-1, Ara-3, Ara-5	53.52	22.11	0.66
Ara+1, Ara-1, Ara-3, Ara-6	51.80	22.52	0.63
Ara+1, Ara-1, Ara-4, Ara-5	55.16	20.95	0.66
Ara+1, Ara-1, Ara-4, Ara-6	53.59	21.35	0.65
Ara+1, Ara-1, Ara-5, Ara-6	54.09	21.51	0.66
Ara+1, Ara-2, Ara-3, Ara-4	54.22	22.17	0.66
Ara+1, Ara-2, Ara-3, Ara-5	52.87	22.32	0.67
Ara+1, Ara-2, Ara-3, Ara-6	53.43	22.68	0.66
Ara+1, Ara-2, Ara-4, Ara-5	52.89	21.17	0.64
Ara+1, Ara-2, Ara-4, Ara-6	53.12	21.51	0.66
Ara+1, Ara-2, Ara-5, Ara-6	52.93	21.70	0.63
Ara+1, Ara-3, Ara-4, Ara-5	53.81	21.32	0.64
Ara+1, Ara-3, Ara-4, Ara-6	53.73	21.73	0.68
Ara+1, Ara-3, Ara-5, Ara-6	53.02	21.89	0.67
Ara+1, Ara-4, Ara-5, Ara-6	53.69	20.74	0.66
Ara+2, Ara+3, Ara+4, Ara+5	67.21	21.87	0.66
Ara+2, Ara+3, Ara+4, Ara-1	53.54	22.11	0.66
Ara+2, Ara+3, Ara+4, Ara-2	56.56	22.33	0.66
Ara+2, Ara+3, Ara+4, Ara-3	56.67	22.47	0.63
Ara+2, Ara+3, Ara+4, Ara-4	55.35	21.37	0.64
Ara+2, Ara+3, Ara+4, Ara-5	54.85	21.48	0.64
Ara+2, Ara+3, Ara+4, Ara-6	57.37	21.89	0.66
Ara+2, Ara+3, Ara+5, Ara-1	52.75	22.07	0.67
Ara+2, Ara+3, Ara+5, Ara-2	56.53	22.29	0.65
Ara+2, Ara+3, Ara+5, Ara-3	56.15	22.48	0.65
Ara+2, Ara+3, Ara+5, Ara-4	54.82	21.36	0.65
Ara+2, Ara+3, Ara+5, Ara-5	54.67	21.45	0.66
Ara+2, Ara+3, Ara+5, Ara-6	57.04	21.81	0.66
Ara+2, Ara+3, Ara-1, Ara-2	51.81	22.52	0.64
