Strain Combination	Observed Ratio (%)	Simulated Mean (%)	Simulated Std Dev (%)
Ara+5, Ara-3, Ara-6	17.23	2.44	0.57
Ara+5, Ara-4, Ara-5	21.20	2.73	0.58
Ara+5, Ara-4, Ara-6	17.89	1.87	0.55
Ara+5, Ara-5, Ara-6	17.16	2.17	0.54
Ara-1, Ara-2, Ara-3	20.14	4.55	0.65
Ara-1, Ara-2, Ara-4	26.09	3.39	0.63
Ara-1, Ara-2, Ara-5	20.73	3.99	0.66
Ara-1, Ara-2, Ara-6	19.50	2.67	0.57
Ara-1, Ara-3, Ara-4	19.85	3.04	0.61
Ara-1, Ara-3, Ara-5	16.45	3.50	0.63
Ara-1, Ara-3, Ara-6	17.86	2.41	0.55
Ara-1, Ara-4, Ara-5	21.58	2.70	0.61
Ara-1, Ara-4, Ara-6	22.19	1.86	0.54
Ara-1, Ara-5, Ara-6	15.00	2.10	0.55
Ara-2, Ara-3, Ara-4	22.71	3.70	0.59
Ara-2, Ara-3, Ara-5	19.75	4.24	0.67
Ara-2, Ara-3, Ara-6	17.28	2.83	0.59
Ara-2, Ara-4, Ara-5	22.48	3.22	0.61
Ara-2, Ara-4, Ara-6	20.64	2.18	0.55
Ara-2, Ara-5, Ara-6	16.67	2.53	0.57
Ara-3, Ara-4, Ara-5	16.84	2.88	0.61
Ara-3, Ara-4, Ara-6	17.98	1.98	0.53
Ara-3, Ara-5, Ara-6	14.84	2.26	0.54
Ara-4, Ara-5, Ara-6	16.38	1.76	0.54
Ara+1, Ara+2, Ara+3, Ara+4	14.88	0.60	0.28
Ara+1, Ara+2, Ara+3, Ara+5	16.26	0.74	0.30
Ara+1, Ara+2, Ara+3, Ara-1	18.48	0.75	0.30
Ara+1, Ara+2, Ara+3, Ara-2	17.58	0.91	0.33
Ara+1, Ara+2, Ara+3, Ara-3	15.61	0.80	0.32
Ara+1, Ara+2, Ara+3, Ara-4	19.15	0.58	0.28
Ara+1, Ara+2, Ara+3, Ara-5	17.87	0.69	0.29
Ara+1, Ara+2, Ara+3, Ara-6	10.73	0.46	0.25
Ara+1, Ara+2, Ara+4, Ara+5	13.86	0.58	0.28
Ara+1, Ara+2, Ara+4, Ara-1	14.10	0.56	0.27
Ara+1, Ara+2, Ara+4, Ara-2	13.27	0.71	0.29
Ara+1, Ara+2, Ara+4, Ara-3	11.38	0.61	0.28
Ara+1, Ara+2, Ara+4, Ara-4	16.25	0.45	0.25
Ara+1, Ara+2, Ara+4, Ara-5	13.88	0.52	0.27
Ara+1, Ara+2, Ara+4, Ara-6	10.82	0.35	0.22
Ara+1, Ara+2, Ara+5, Ara-1	15.68	0.71	0.29
Ara+1, Ara+2, Ara+5, Ara-2	15.81	0.91	0.30
Ara+1, Ara+2, Ara+5, Ara-3	14.56	0.77	0.30
Ara+1, Ara+2, Ara+5, Ara-4	17.65	0.57	0.28
Ara+1, Ara+2, Ara+5, Ara-5	17.30	0.65	0.28
Ara+1, Ara+2, Ara+5, Ara-6	10.16	0.45	0.25
Ara+1, Ara+2, Ara-1, Ara-2	17.31	0.87	0.31
Ara+1, Ara+2, Ara-1, Ara-3	12.94	0.75	0.30
Ara+1, Ara+2, Ara-1, Ara-4	19.27	0.56	0.27
Ara+1, Ara+2, Ara-1, Ara-5	18.46	0.67	0.30
